Wall time,Step,Value
1609187003.7407699,0,0.02067531831562519
1609187226.718782,1,0.4440387189388275
1609187529.0212126,2,0.6803885102272034
1609187746.8097105,3,0.6581929922103882
1609188012.7978532,4,0.5021770596504211
1609188213.5296845,5,0.3306921124458313
1609188465.5591311,6,0.47870051860809326
1609188652.1486208,7,0.6083877682685852
1609188902.9860315,8,0.334227591753006
1609189086.5783327,9,0.6086001396179199
1609189334.3943245,10,0.3493993878364563
1609189518.2634325,11,0.5595283508300781
1609189767.0106711,12,0.4043612480163574
1609189983.911701,13,0.6844227910041809
1609190276.110845,14,0.5353556275367737
1609190486.4424496,15,0.5141201019287109
1609190769.6655705,16,0.5463992357254028
1609190978.3080914,17,0.26281142234802246
1609191271.4631908,18,0.26941773295402527
1609191484.261672,19,0.4298091232776642
1609191779.587259,20,0.6074328422546387
1609191997.6333337,21,0.3998125195503235
1609192286.2188282,22,0.47846853733062744
1609192479.3760443,23,0.5291150212287903
1609192740.3368497,24,0.711313784122467
1609192933.353323,25,0.5168483853340149
1609193195.3460684,26,0.7855829000473022
1609193407.3384154,27,-0.31313952803611755
1609193702.5747857,28,-0.024736417457461357
1609193918.3586912,29,0.05966143310070038
1609194222.1884422,30,0.2122633308172226
1609194445.7271614,31,-0.2593607008457184
1609194745.7813556,32,0.22941021621227264
1609194971.6250608,33,0.41628390550613403
1609195270.1547487,34,1.0206729173660278
1609195482.9723158,35,0.40939632058143616
1609195772.636962,36,1.0746723413467407
1609195970.5660155,37,0.5330527424812317
1609196233.325074,38,0.48151451349258423
1609196426.4402902,39,0.5516533851623535
1609196706.3790393,40,-0.5667746663093567
1609196922.9942575,41,0.8597412109375
1609197238.9020169,42,-0.2983633279800415
1609197462.4884188,43,-0.4857501685619354
1609197765.8456364,44,-0.8607320189476013
1609197985.6931837,45,-0.3047594130039215
1609198309.6019127,46,0.24219100177288055
1609198541.0478764,47,-0.15623602271080017
1609198855.9248903,48,0.46797189116477966
1609199085.267524,49,0.49676287174224854
1609199387.2859626,50,0.35485830903053284
1609199592.3635268,51,0.9055820107460022
1609199864.0677423,52,1.2349408864974976
1609200087.0364177,53,0.12515848875045776
1609200405.9868112,54,0.32094448804855347
1609200636.0669622,55,0.4702504873275757
1609200948.3990157,56,0.9074488878250122
1609201182.5509021,57,-0.35596755146980286
1609201497.0508552,58,1.004880428314209
1609201733.210175,59,0.9683824181556702
1609202051.2574127,60,0.5450942516326904
1609202283.2659047,61,1.2510956525802612
1609202602.885851,62,-0.2284907102584839
1609202810.595208,63,0.4422992467880249
1609203101.5551507,64,-0.016340862959623337
1609203328.8654876,65,-0.5227834582328796
1609203639.2268572,66,-0.053253453224897385
1609203868.0875106,67,0.9590197801589966
1609204178.4256206,68,1.1420588493347168
1609204405.7065063,69,0.7052497863769531
1609204697.0404475,70,-0.7361885905265808
1609204931.9418886,71,0.9074488878250122
1609205256.9868815,72,-0.32222989201545715
1609205497.4998417,73,-0.3166152238845825
1609205844.433713,74,-0.18250851333141327
1609206087.6485302,75,0.8268706202507019
1609206392.9309287,76,-0.23460736870765686
1609206617.880852,77,0.6391942501068115
1609206920.8068466,78,0.36173275113105774
1609207136.4035478,79,-0.43166983127593994
1609207451.0030959,80,0.6839514374732971
1609207678.9765034,81,-0.4226812720298767
1609207989.2888148,82,0.058071065694093704
1609208193.675968,83,0.7592538595199585
1609208500.1832335,84,0.1585703045129776
1609208740.6185703,85,1.252994179725647
1609209080.4027882,86,1.106236219406128
1609209325.1066158,87,0.3294889032840729
1609209651.3007908,88,0.7153558731079102
1609209851.789071,89,0.8408219218254089
1609210118.2358403,90,1.1209099292755127
1609210315.627842,91,1.6389744281768799
1609210581.8798163,92,1.1008652448654175
1609210778.5123932,93,0.5846972465515137
1609211044.9371135,94,0.5556965470314026
1609211243.2859108,95,1.7051870822906494
1609211508.435033,96,2.858668327331543
1609211701.1275184,97,2.0347936153411865
1609211965.321245,98,1.6507070064544678
1609212159.6275759,99,0.893493115901947
1609212422.5947697,100,3.2435500621795654
1609212616.206232,101,1.8593015670776367
1609212879.0704293,102,4.5102152824401855
1609213072.8316174,103,3.0895278453826904
1609213335.823273,104,4.576992988586426
1609213531.0561705,105,2.517784595489502
1609213793.8575094,106,2.6997032165527344
1609213989.3410306,107,3.50923752784729
1609214253.374232,108,3.0419540405273438
1609214448.5333054,109,2.933852434158325
1609214713.3743007,110,3.720205307006836
1609214908.4694455,111,3.4156975746154785
1609215173.4973726,112,2.7221245765686035
1609215369.205325,113,4.584834575653076
1609215636.79983,114,3.6039581298828125
1609215832.8104603,115,5.361499309539795
1609216099.1344917,116,3.6387367248535156
1609216295.9368038,117,2.5356767177581787
1609216561.3966718,118,4.374877452850342
1609216757.5057385,119,5.167288780212402
1609217022.888404,120,1.0579265356063843
1609217219.5507793,121,1.5449856519699097
1609217489.353651,122,5.837587356567383
1609217689.2654774,123,3.3404390811920166
1609217961.8030214,124,3.134378433227539
1609218161.1228461,125,2.305530071258545
1609218431.1697307,126,3.3476309776306152
1609218631.9152007,127,3.7754464149475098
1609218902.2978332,128,3.5700950622558594
1609219102.4858556,129,3.9168264865875244
1609219373.6633399,130,7.9347639083862305
1609219573.3500748,131,8.41511058807373
1609219846.378999,132,6.708561897277832
