date,open,high,low,close,volume
1988-03-24,2.2822,2.2822,2.2410,2.2551,595974
1988-03-25,2.2279,2.2551,2.2138,2.2410,399024
1988-03-28,2.1605,2.2007,2.1605,2.2007,175728
1988-03-29,2.2138,2.2138,2.2007,2.2138,345702
1988-03-30,2.2279,2.2279,2.1866,2.1866,66552
1988-03-31,2.1963,2.2512,2.1963,2.2512,107802
1988-04-04,2.2512,2.2643,2.2512,2.2643,37350
1988-04-05,2.2369,2.2643,2.2237,2.2369,99828
1988-04-06,2.2237,2.2369,2.1963,2.2369,139902
1988-04-07,2.2369,2.3061,2.1963,2.2929,1024224
1988-04-08,2.3203,2.3467,2.2929,2.3467,607698
1988-04-11,2.3467,2.3610,2.3467,2.3610,188802
1988-04-12,2.3467,2.3467,2.3203,2.3467,32928
1988-04-13,2.3467,2.3467,2.2929,2.3467,249426
1988-04-14,2.3203,2.3203,2.2643,2.2786,261150
1988-04-15,2.2929,2.3467,2.2929,2.3467,353850
1988-04-18,2.3335,2.3335,2.3061,2.3335,135828
1988-04-19,2.3335,2.4016,2.3335,2.3335,441624
1988-04-20,2.3335,2.3467,2.2643,2.3467,413274
1988-04-21,2.3467,2.3742,2.3335,2.3335,204924
1988-04-22,2.3467,2.3467,2.3203,2.3203,97800
1988-04-25,2.3335,2.3467,2.3335,2.3467,28176
1988-04-26,2.3467,2.3467,2.3335,2.3335,127176
1988-04-27,2.3467,2.3467,2.3203,2.3335,38202
1988-04-28,2.3467,2.3742,2.3335,2.3742,366576
1988-04-29,2.3742,2.4016,2.3742,2.3742,52800
1988-05-02,2.3742,2.3884,2.3742,2.3742,43974
1988-05-03,2.3884,2.3884,2.3742,2.3742,86748
1988-05-04,2.3884,2.3884,2.3610,2.3610,173874
1988-05-05,2.3335,2.3335,2.2929,2.2929,139224
1988-05-06,2.3061,2.3061,2.2786,2.2786,46176
1988-05-09,2.2369,2.2369,2.2237,2.2237,129378
1988-05-10,2.2094,2.2094,2.1963,2.1963,137874
1988-05-11,2.1688,2.1688,2.0996,2.1414,140928
1988-05-12,2.1271,2.1271,2.0864,2.0864,124800
1988-05-13,2.0864,2.0996,2.0864,2.0864,180828
1988-05-16,2.0864,2.0996,2.0864,2.0864,69426
1988-05-17,2.0996,2.0996,2.0864,2.0864,113076
1988-05-18,2.1139,2.1139,2.0590,2.0590,141102
1988-05-19,2.0041,2.0041,1.9766,2.0041,221748
1988-05-20,2.0041,2.0041,1.9492,1.9624,56526
1988-05-23,1.9766,1.9766,1.9085,1.9085,488328
1988-05-24,1.9085,1.9492,1.9085,1.9349,90498
1988-05-25,1.9492,2.0041,1.9492,1.9766,239928
1988-05-26,1.9624,1.9766,1.9492,1.9624,101028
1988-05-27,1.9492,1.9624,1.9492,1.9624,2874
1988-05-31,2.0315,2.0315,1.9898,2.0184,354198
1988-06-01,2.0315,2.0590,2.0315,2.0458,222600
1988-06-02,2.0184,2.0184,1.9624,1.9766,159426
1988-06-03,1.9898,2.0184,1.9624,1.9766,292050
1988-06-06,1.9624,1.9766,1.9492,1.9766,71478
1988-06-07,1.9624,1.9624,1.9492,1.9492,148224
1988-06-08,1.9766,2.0041,1.9766,1.9766,229374
1988-06-09,1.9766,1.9766,1.9492,1.9624,35826
1988-06-10,1.9624,1.9624,1.9492,1.9492,23250
1988-06-13,1.9766,1.9766,1.9085,1.9085,275928
1988-06-14,1.9217,1.9349,1.9217,1.9349,200526
1988-06-15,1.9349,1.9624,1.9349,1.9624,174702
1988-06-16,1.9766,1.9766,1.9492,1.9766,403950
1988-06-17,1.9898,2.0590,1.9898,2.0590,372348
1988-06-20,2.0864,2.0996,2.0722,2.0864,217848
1988-06-21,2.1139,2.1271,2.0996,2.0996,64002
1988-06-22,2.1139,2.1139,2.0996,2.1139,123252
1988-06-23,2.0996,2.1139,2.0996,2.1139,113928
1988-06-24,2.0996,2.0996,2.0458,2.0590,242802
1988-06-27,2.0315,2.0458,2.0184,2.0315,195600
1988-06-28,2.0184,2.0184,1.9898,2.0041,74700
1988-06-29,1.9766,1.9766,1.9349,1.9349,126324
1988-06-30,1.9624,1.9898,1.9624,1.9898,42276
1988-07-01,1.9898,2.0184,1.9898,2.0041,162474
1988-07-05,1.9898,1.9898,1.9349,1.9624,428724
1988-07-06,1.9624,1.9624,1.9492,1.9492,320574
1988-07-07,1.9766,1.9766,1.9766,1.9766,347898
1988-07-08,1.9766,1.9766,1.9624,1.9624,26298
1988-07-11,1.9492,1.9492,1.9492,1.9492,5928
1988-07-12,1.9492,1.9492,1.9217,1.9217,205452
1988-07-13,1.9492,1.9492,1.9349,1.9492,35298
1988-07-14,1.9492,1.9624,1.9492,1.9492,25452
1988-07-15,1.9492,1.9624,1.9349,1.9492,58902
1988-07-18,1.9492,1.9624,1.9492,1.9624,19674
1988-07-19,1.9624,1.9766,1.9624,1.9624,201198
1988-07-20,1.9766,1.9898,1.9624,1.9898,129726
1988-07-21,1.9898,2.0041,1.9766,1.9766,73350
1988-07-22,1.9898,1.9898,1.9766,1.9766,181848
1988-07-25,1.9624,1.9766,1.9624,1.9766,1524
1988-07-26,1.9624,1.9624,1.9349,1.9349,68574
1988-07-27,1.9217,1.9217,1.9085,1.9085,74352
1988-07-28,1.8943,1.9085,1.8943,1.9085,160950
1988-07-29,1.9085,1.9085,1.8811,1.9085,9498
1988-08-01,1.9085,1.9085,1.8943,1.8943,64848
1988-08-02,1.8943,1.9217,1.8668,1.8668,494100
1988-08-03,1.8668,1.8668,1.8119,1.8119,672576
1988-08-04,1.8251,1.8525,1.8251,1.8394,15774
1988-08-05,1.8811,1.9085,1.8811,1.8943,24450
1988-08-08,1.9085,1.9217,1.8943,1.8943,425850
1988-08-09,1.8668,1.8668,1.8525,1.8525,221076
1988-08-10,1.8394,1.8394,1.8251,1.8251,75048
1988-08-11,1.8251,1.8251,1.7976,1.8119,439950
1988-08-12,1.8119,1.8119,1.8119,1.8119,343500
1988-08-15,1.8251,1.8251,1.7976,1.7976,38352
1988-08-16,1.7845,1.7976,1.7845,1.7976,132774
1988-08-17,1.8119,1.8251,1.8119,1.8251,176250
1988-08-18,1.8251,1.8394,1.8251,1.8251,33774
1988-08-19,1.8525,1.8668,1.8525,1.8668,12552
1988-08-22,1.8943,1.8943,1.8668,1.8668,311226
1988-08-23,1.8668,1.8668,1.8525,1.8525,64350
1988-08-24,1.8668,1.8943,1.8668,1.8943,51774
1988-08-25,1.8811,1.8943,1.8668,1.8943,63150
1988-08-26,1.8811,1.8811,1.8525,1.8525,51600
1988-08-29,1.8394,1.8525,1.8251,1.8251,52626
1988-08-30,1.8251,1.8394,1.8251,1.8394,74028
1988-08-31,1.8119,1.8251,1.7845,1.7976,126648
1988-09-01,1.7570,1.7570,1.7021,1.7021,40398
1988-09-02,1.7296,1.7713,1.7296,1.7713,62652
1988-09-06,1.7976,1.8119,1.7976,1.7976,10524
1988-09-07,1.8119,1.8119,1.7976,1.7976,5928
1988-09-08,1.7845,1.7976,1.7845,1.7845,42600
1988-09-09,1.7845,1.7976,1.7713,1.7845,8826
1988-09-12,1.7570,1.7570,1.7438,1.7438,1350
1988-09-13,1.7570,1.7713,1.7570,1.7713,20028
1988-09-14,1.7713,1.7713,1.7570,1.7713,106800
1988-09-15,1.7713,1.7713,1.7713,1.7713,28002
1988-09-16,1.7845,1.7845,1.7570,1.7713,39378
1988-09-19,1.7438,1.7438,1.7296,1.7438,14424
1988-09-20,1.7438,1.7713,1.7438,1.7570,109500
1988-09-21,1.7570,1.7570,1.7438,1.7438,19002
1988-09-22,1.7296,1.7438,1.7153,1.7296,96948
1988-09-23,1.7296,1.7438,1.7021,1.7438,25302
1988-09-26,1.7296,1.7296,1.7021,1.7021,70452
1988-09-27,1.7021,1.7296,1.7021,1.7296,78426
1988-09-28,1.7296,1.7438,1.7296,1.7438,17976
1988-09-29,1.7611,1.7757,1.7466,1.7757,36828
1988-09-30,1.7757,1.7757,1.7611,1.7757,25974
1988-10-03,1.7611,1.7757,1.7466,1.7611,54828
1988-10-04,1.7332,1.7466,1.7186,1.7186,89124
1988-10-05,1.7052,1.7332,1.7052,1.7186,85224
1988-10-06,1.7332,1.7332,1.7186,1.7332,212076
1988-10-07,1.7466,1.7757,1.7466,1.7757,121398
1988-10-10,1.7757,1.7891,1.7757,1.7891,28176
1988-10-11,1.7757,1.7891,1.7757,1.7891,29202
1988-10-12,1.7757,1.7891,1.7611,1.7891,13050
1988-10-13,1.7891,1.8584,1.7891,1.8584,38526
1988-10-14,1.9289,1.9848,1.9289,1.9434,115098
1988-10-17,1.9848,2.0127,1.9848,2.0127,45324
1988-10-18,2.0127,2.0127,1.9982,2.0127,96276
1988-10-19,2.0261,2.0261,1.9848,1.9848,53976
1988-10-20,2.0552,2.1100,2.0552,2.1100,204924
1988-10-21,2.1100,2.1380,2.0832,2.1380,72324
1988-10-24,2.1245,2.1245,2.0966,2.0966,35976
1988-10-25,2.0966,2.0966,2.0832,2.0832,58578
1988-10-26,2.0966,2.0966,2.0832,2.0832,69774
1988-10-27,2.0832,2.0832,2.0261,2.0407,184548
1988-10-28,2.0407,2.0407,2.0261,2.0261,38874
1988-10-31,2.0261,2.0261,1.9702,1.9982,135150
1988-11-01,1.9848,1.9982,1.9848,1.9982,8652
1988-11-02,1.9982,2.0127,1.9848,2.0127,111726
1988-11-03,1.9982,1.9982,1.9702,1.9982,17826
1988-11-04,1.9702,1.9702,1.9434,1.9434,32076
1988-11-07,1.9289,1.9289,1.9009,1.9289,7800
1988-11-08,1.9154,1.9289,1.9154,1.9154,26124
1988-11-09,1.9289,1.9568,1.9289,1.9434,31050
1988-11-10,1.9289,1.9434,1.9289,1.9434,4902
1988-11-11,1.9568,1.9568,1.9289,1.9289,43974
1988-11-14,1.9154,1.9154,1.9154,1.9154,20700
1988-11-15,1.9434,1.9702,1.9434,1.9568,31224
1988-11-16,1.9702,1.9702,1.9434,1.9434,60600
1988-11-17,1.9568,1.9568,1.9434,1.9568,9324
1988-11-18,1.9434,1.9568,1.9434,1.9568,4074
1988-11-21,1.9434,1.9434,1.9009,1.9154,11700
1988-11-22,1.9434,1.9568,1.9434,1.9568,58752
1988-11-23,1.9702,1.9848,1.9568,1.9848,34128
1988-11-25,1.9702,1.9702,1.9702,1.9702,5748
1988-11-28,1.9434,1.9568,1.9434,1.9568,15276
1988-11-29,1.9289,1.9434,1.9009,1.9434,20700
1988-11-30,1.9289,1.9289,1.9154,1.9289,49752
1988-12-01,1.9154,1.9154,1.8730,1.8730,73848
1988-12-02,1.8730,1.8864,1.8730,1.8730,7128
1988-12-05,1.8730,1.9009,1.8730,1.9009,96102
1988-12-06,1.9154,1.9154,1.8864,1.9009,64674
1988-12-07,1.9009,1.9289,1.8584,1.8584,164352
1988-12-08,1.8730,1.8730,1.8584,1.8584,23076
1988-12-09,1.8584,1.8584,1.8170,1.8450,89802
